Maximum CPU Burst: 1200
 298        2013                 540     1
 299        2019                 545     5
 300        2023                 353     8
 301        2036                 189     2
 302        2044                 421     9
 303        2047                 481     5
 304        2049                 489     1
 305        2051                1003     2
 306        2053                 680     4
 307        2058                  96     8
 308        2060                 199     3
 309        2064                 609     6
 310        2066                 741     8
 311        2068                 429     1
 312        2073                 520     3
 313        2073                1051     4
 314        2075                 602     9
 315        2075                1118     9
 316        2079                  78     8
 317        2085                 816     5
 318        2105                  50     6
 319        2109                1154     5
 320        2112                1102     9
 321        2113                 170     4
 322        2124                1100     4
 323        2129                 775     9
 324        2130                 179     1
 325        2138                1128     3
 326        2146                 968     9
 327        2167                 747     4
 328        2169                 511     1
 329        2178                 218     5
 330        2186                1067     4
 331        2197                 790     3
 332        2206                1061     5
 333        2208                 123     2
 334        2210                 982     8
 335        2212                 436     4
 336        2221                1053     5
 337        2224                1114     8
 338        2225                 657     3
 339        2264                 320     1
 340        2287                 226     1
 341        2289                 711     3
 342        2290                 517     9
 343        2295                 190     7
 344        2299                 678     6
 345        2300                1196     1
 346        2320                 583     4
 347        2327                 291     2
 348        2328                 845     1
 349        2334                 382     8
 350        2342                 255     2
 351        2344                 874     7
 352        2346                  15     5
 353        2347                1149     6
 354        2355                1031     1
 355        2356                 600     4
 356        2359                 241     5
 357        2361                 167     3
 358        2367                1018     8
 359        2372                 935     1
 360        2380                 193     4
 361        2390                 795     6
 362        2397                  71     9
 363        2403                 240     6
 364        2415                 924     4
 365        2419                  15     6
 366        2420                1138     3
 367        2420                 384     3
 368        2434                 178     6
 369        2436                 393     2
 370        2438                 452     4
 371        2440                1022     6
 372        2460                 897     7
 373        2462                 363     2
 374        2470                 622     7
 375        2473                1130     1
 376        2480                  42     4
 377        2487                 249     9
 378        2500                 647     9
 379        2513                 959     5
 380        2520                 390     1
 381        2524                 802     4
 382        2529                 390     9
 383        2535                 884     8
 384        2545                 525     7
 385        2547                 936     4
 386        2548                 259     8
 387        2567                 558     3
 388        2568                 763     1
 389        2578                 626     6
 390        2593                  39     6
 391        2599                  93     5
 392        2606                 721     8
 393        2610                  82     9
 394        2610                 340     1
 395        2621                 596     5
 396        2625                 184     3
 397        2645                1185     5
 398        2668                 345     9
 399        2674                 165     7
 400        2689                 624     4
 401        2694                1178     4
 402        2701                   7     2
 403        2708                1047     2
 404        2713                 511     4
 405        2715                1143     3
 406        2728                 646     3
 407        2731                 539     4
 408        2734                1097     6
 409        2743                 294     7
 410        2743                 445     8
 411        2745                 203     1
 412        2774                 998     6
 413        2778                  79     9
 414        2782                 635     3
 415        2789                 883     3
 416        2793                 161     4
 417        2802                 181     7
 418        2807                 318     5
 419        2812                 366     3
 420        2822                 420     9
 421        2822                 697     8
 422        2823                 914     2
 423        2835                 832     2
 424        2841                 765     4
 425        2842                 957     3
 426        2844                 292     7
 427        2854                 732     6
 428        2865                 716     6
 429        2883                 909     2
 430        2890                  47     5
 431        2892                 127     2
 432        2913                 160     5
 433        2917                1138     2
 434        2941                 616     6
 435        2947                1097     3
 436        2951                 767     1
 437        2976                1196     9
 438        2981                1086     8
 439        2986                 921     8
 440        2990                1055     7
 441        2994                 290     3
 442        3007                1090     2
 443        3008                 946     1
 444        3009                 211     3
 445        3035                 423     5
 446        3035                 387     7
 447        3035                 793     3
 448        3069                 118     4
 449        3079                 883     1
 450        3080                 232     8
 451        3086                 351     2
 452        3092                 940     4
 453        3105                 636     5
 454        3113                 500     4
 455        3114                 745     3
 456        3117                 757     7
 457        3130                 902     6
 458        3133                 765     3
 459        3136                 395     4
 460        3143                1148     2
 461        3145                 248     5
 462        3145                 781     1
 463        3148                  45     8
 464        3160                1197     9
 465        3161                 188     1
 466        3180                 340     8
 467        3188                 517     1
 468        3189                 963     4
 469        3190                 894     5
 470        3195                 930     6
 471        3197                 212     5
 472        3201                 552     3
 473        3208                 418     7
 474        3221                 140     1
 475        3233                 260     1
 476        3251                 967     3
 477        3252                1057     7
 478        3284                 140     2
 479        3285                 445     8
 480        3290                 558     3
 481        3294                 730     6
 482        3310                 543     1
 483        3324                 194     1
 484        3324                 677     3
 485        3325                 476     1
 486        3332                 427     3
 487        3334                 982     4
 488        3336                  55     4
 489        3345                 159     7
 490        3355                 393     9
 491        3363                 557     4
 492        3363                1093     4
 493        3363                 343     5
 494        3371                 745     9
 495        3378                  74     3
 496        3379                 822     1
 497        3381                 643     3
 498        3386                 482     9
 499        3388                 909     7
 500        3396                 418     1
 501        3399                 403     6
 502        3411                 484     8
 503        3431                 679     5
 504        3457                 865     6
 505        3463                 603     6
 506        3468                  83     4
 507        3470                1188     5
 508        3471                 281     9
 509        3483                 743     9
 510        3491                 820     1
 511        3498                 235     1
 512        3502                 667     3
 513        3507                 236     2
 514        3509                 763     6
 515        3513                  60     9
 516        3525                 818     9
 517        3528                 840     8
 518        3548                 798     5
 519        3555                 533     2
 520        3569                 295     9
 521        3570                 565     6
 522        3571                 354     1
 523        3573                 463     7
 524        3581                 559     2
 525        3584                  66     4
 526        3591                 961     9
 527        3597                 237     2
 528        3609                 882     6
 529        3616                 585     7
 530        3627                 322     3
 531        3629                1102     2
 532        3651                 632     6
 533        3671                 995     3
 534        3674                 514     4
 535        3677                 992     6
 536        3679                1031     6
 537        3694                 842     2
 538        3695                 389     3
 539        3701                 469     1
 540        3722                1193     3
 541        3723                 272     8
 542        3755                 904     4
 543        3756                1191     9
 544        3766                 549     7
 545        3766                 274     7
 546        3766                 348     1
 547        3767                1040     2
 548        3769                 627     9
 549        3794                 256     6
 550        3801                 103     4
 551        3813                  65     2
 552        3818                1029     5
 553        3841                1183     2
 554        3845                 818     6
 555        3846                1020     7
 556        3849                 187     7
 557        3850                 793     7
 558        3854                 763     3
 559        3855                 573     5
 560        3859                 197     8
 561        3863                 382     5
 562        3868                 303     9
 563        3869                 915     1
 564        3869                 665     9
 565        3875                 219     3
 566        3888                 259     8
 567        3891                1110     9
 568        3891                  70     8
 569        3895                1147     4
 570        3902                  54     6
 571        3911                   2     3
 572        3913                 954     5
 573        3919                 139     2
 574        3928                 912     4
 575        3933                 825     5
 576        3941                 205     1
 577        3958                 986     9
 578        3968                 236     4
 579        3969                 947     9
 580        3980                 177     5
 581        3983                 635     8
 582        3985                 254     2
 583        4018                 577     2
 584        4023                 456     7
 585        4067                1179     5
 586        4068                 726     2
 587        4070                 166     1
 588        4078                 111     1
 589        4081                 529     4
 590        4083                 511     5
 591        4083                 140     8
 592        4084                 235     5
 593        4103                 339     9
 594        4108                 641     7
 595        4114                 405     7
 596        4120                 885     9
 597        4125                 248     9
 598        4134                 171     2
 599        4138                1172     8
 600        4144                 922     7
 601        4145                  81     6
 602        4145                 663     5
 603        4150                 475     1
 604        4157                 407     9
 605        4172                 510     9
 606        4181                1130     2
 607        4185                 996     9
 608        4189                 538     5
 609        4190                 677     9
 610        4197                 918     3
 611        4211                 351     1
 612        4217                 392     3
 613        4227                 547     3
 614        4244                 255     2
 615        4246                 122     3
 616        4272                 257     7
 617        4282                 438     8
 618        4311                 138     2
 619        4326                 575     5
 620        4326                 547     8
 621        4330                 206     8
 622        4330                 732     7
 623        4330                 431     2
 624        4335                 391     4
 625        4335                 480     9
 626        4341                 737     4
 627        4355                 737     5
 628        4366                 231     5
 629        4369                 796     5
 630        4373                 843     9
 631        4375                 200     6
 632        4380                 677     6
 633        4383                 723     3
 634        4397                 796     6
 635        4411                 666     5
 636        4414                 660     7
 637        4423                 194     3
 638        4443                1108     3
 639        4466                 746     4
 640        4473                 401     9
 641        4481                 213     4
 642        4491                 735     5
 643        4493                 877     3
 644        4494                  71     6
 645        4497                1167     5
 646        4497                  64     5
 647        4519                 731     7
 648        4527                 842     7
 649        4537                 908     9
 650        4539                 720     7
 651        4550                1064     7
 652        4557                 506     9
 653        4559                 295     5
 654        4562                1124     8
 655        4564                1014     3
 656        4581                 425     1
 657        4590                1104     8
 658        4592                 408     7
 659        4619                 782     6
 660        4626                 539     7
 661        4636                 411     6
 662        4638                 819     9
 663        4645                  29     2
 664        4655                  88     7
 665        4664                 270     3
 666        4680                 447     6
 667        4681                 311     9
 668        4700                 951     2
 669        4706                1075     7
 670        4710                 949     4
 671        4711                 335     2
 672        4716                1151     8
 673        4739                 661     1
 674        4740                1133     8
 675        4743                 515     7
 676        4744                1100     8
 677        4768                 423     1
 678        4774                 728     3
 679        4777                 570     5
 680        4783                 168     5
 681        4789                 435     8
 682        4797                 727     3
 683        4805                  37     2
 684        4813                 394     9
 685        4822                 771     2
 686        4825                 235     9
 687        4828                 205     5
 688        4847                1190     1
 689        4847                  43     6
 690        4860                 325     3
 691        4861                1137     8
 692        4863                 811     2
 693        4863                 262     7
 694        4866                  68     8
 695        4872                 719     8
 696        4882                 889     3
 697        4883                 682     9
 698        4889                1106     6
 699        4893                1134     9
 700        4893                 345     8
 701        4896                 322     3
 702        4899                 956     2
 703        4912                 413     2
 704        4916                 411     6
 705        4952                 906     8
 706        4955                  85     2
 707        4962                 699     4
 708        4971                 494     4
 709        4986                 525     4
 710        4992                 509     7
 711        4999                 705     7
 712        5014                 211     9
 713        5042                 378     3
 714        5045                1010     6
 715        5045                 398     9
 716        5048                 230     7
 717        5050                 299     2
 718        5075                1044     7
 719        5075                 755     8
 720        5077                 657     1
 721        5079                  35     2
 722        5080                 647     8
 723        5095                 651     4
 724        5115                 764     9
 725        5124                 903     8
 726        5127                 909     3
 727        5132                 358     6
 728        5143                 430     9
 729        5144                 857     1
 730        5157                1145     2
 731        5160                1000     4
 732        5164                  72     5
 733        5171                 636     2
 734        5171                 889     6
 735        5176                1073     1
 736        5184                 417     7
 737        5191                1167     7
 738        5192                1002     1
 739        5198                 439     3
 740        5199                 668     2
 741        5201                 981     7
 742        5204                  74     8
 743        5208                 355     7
 744        5212                1048     7
 745        5213                1078     2
 746        5214                 163     2
 747        5226                 480     7
 748        5268                 713     4
 749        5291                 968     7
 750        5291                 462     7
 751        5293                 981     8
 752        5295                1043     3
 753        5318                 685     1
 754        5337                 113     1
 755        5340                 414     4
 756        5342                 452     7
 757        5344                 544     9
 758        5352                 851     8
 759        5353                 771     5
 760        5356                 105     1
 761        5367                 933     4
 762        5394                1090     9
 763        5395                 448     9
 764        5407                 975     6
 765        5409                 786     3
 766        5411                  20     2
 767        5434                1044     7
 768        5439                 794     4
 769        5445                 500     8
 770        5449                 240     5
 771        5451                  68     1
 772        5457                1065     7
 773        5464                 214     1
 774        5469                 387     9
 775        5470                 670     4
 776        5474                 195     6
 777        5477                 268     7
 778        5480                 310     4
 779        5483                  81     9
 780        5485                 880     5
 781        5496                 544     4
 782        5499                 453     1
 783        5508                 824     6
 784        5510                   8     9
 785        5516                 340     4
 786        5519                 230     8
 787        5521                 510     5
 788        5525                 572     7
 789        5525                 863     5
 790        5532                1047     9
 791        5546                 352     1
 792        5554                  18     5
 793        5555                 920     7
 794        5561                  21     4
 795        5569                 679     4
 796        5571                 724     4
 797        5581                 566     8
 798        5584                 237     7
 799        5584                 329     6
 800        5593                1109     8
 801        5605                 798     2
 802        5618                 791     7
 803        5619                1103     1
 804        5625                1185     4
 805        5626                1092     7
 806        5634                  96     7
 807        5640                 419     6
 808        5647                 243     4
 809        5687                 324     4
 810        5706                  38     8
 811        5709                1060     5
 812        5719                 864     8
 813        5733                 139     8
 814        5736                  21     3
 815        5739                 625     3
 816        5747                 353     2
 817        5766                 451     6
 818        5777                 533     5
 819        5782                 489     8
 820        5786                 635     2
 821        5790                 406     1
 822        5793                 563     2
 823        5797                  26     4
 824        5799                  84     7
 825        5806                 325     5
 826        5811                 634     7
 827        5813                 473     9
 828        5817                 201     1
 829        5850                 342     5
 830        5851                 192     1
 831        5853                 223     9
 832        5854                 524     3
 833        5866                 427     6
 834        5874                 499     5
 835        5880                 874     3
 836        5880                 248     7
 837        5883                 917     5
 838        5906                 117     1
 839        5910                 595     8
 840        5919                 905     1
 841        5928                 780     6
 842        5930                 542     1
 843        5932                 684     1
 844        5946                1113     6
 845        5948                1120     5
 846        5954                 819     4
 847        5955                 102     8
 848        5956                 615     1
 849        5966                 557     3
 850        5968                 570     9
 851        5972                 760     1
 852        5972                 746     9
 853        5972                 617     8
 854        5972                 799     9
 855        5976                 392     7
 856        5977                 878     7
 857        5979                 626     9
 858        5979                 838     3
 859        5987                 810     2
 860        5993                 692     6
 861        6003                  55     1
 862        6004                 612     3
 863        6011                1102     6
 864        6014                 295     6
 865        6018                 994     3
 866        6045                 131     8
 867        6060                 748     6
 868        6064                 977     9
 869        6079                 820     8
 870        6091                1109     3
 871        6101                 580     7
 872        6115                1101     8
 873        6118                1024     3
 874        6119                 424     3
 875        6122                1153     1
 876        6129                   4     9
 877        6132                1152     6
 878        6139                 107     9
 879        6145                 680     6
 880        6147                 600     4
 881        6152                 813     1
 882        6161                 222     8
 883        6164                 841     2
 884        6169                 439     2
 885        6190                 883     5
 886        6203                 742     4
 887        6211                 764     1
 888        6213                 206     6
 889        6214                 136     7
 890        6214                 636     6
 891        6216                 863     1
 892        6218                1193     3
 893        6232                1028     2
 894        6245                1025     5
 895        6245                  37     5
 896        6246                1122     8
 897        6253                1126     5
 898        6255                 194     1
 899        6257                 578     3
 900        6265                 899     9
 901        6272                 265     9
 902        6273                1176     2
 903        6275                 252     6
 904        6283                 125     9
 905        6289                1043     3
 906        6293                 660     5
 907        6327                 104     9
 908        6341                 732     9
 909        6343                 814     6
 910        6351                 748     1
 911        6357                 757     7
 912        6360                1158     5
 913        6385                 636     4
 914        6391                 987     5
 915        6392                 734     7
 916        6395                 125     7
 917        6413                  95     3
 918        6417                 530     4
 919        6421                 638     4
 920        6432                 395     1
 921        6433                 659     5
 922        6471                  73     3
 923        6482                 993     9
 924        6487                  92     3
 925        6497                1040     7
 926        6507                 863     9
 927        6515                  96     1
 928        6519                 221     5
 929        6527                 346     4
 930        6528                1169     9
 931        6539                  32     1
 932        6548                1160     6
 933        6567                 637     7
 934        6589                1101     4
 935        6611                 531     7
 936        6616                 193     8
 937        6618                 810     1
 938        6621                 173     5
 939        6622                 367     6
 940        6625                 514     4
 941        6635                 456     3
 942        6648                 961     9
 943        6659                  97     1
 944        6660                 152     2
 945        6677                1100     3
 946        6683                 191     6
 947        6686                 910     4
 948        6686                 441     2
 949        6704                 659     7
 950        6712                 339     6
 951        6719                 313     5
 952        6722                 401     8
 953        6739                1120     7
 954        6748                 988     3
 955        6759                1011     6
 956        6763                 682     5
 957        6764                 681     4
 958        6775                 545     9
 959        6780                1071     7
 960        6793                 322     9
 961        6798                  48     4
 962        6799                 913     3
 963        6800                 154     1
 964        6812                 257     9
 965        6818                 875     5
 966        6821                 624     9
 967        6828                1120     5
 968        6837                 584     2
 969        6840                1116     9
 970        6845                 975     7
 971        6865                 430     7
 972        6870                  98     9
 973        6878                 354     7
 974        6885                 783     9
 975        6893                 519     2
 976        6901                 866     5
 977        6914                 739     2
 978        6920                 957     6
 979        6921                 772     7
 980        6921                1029     5
 981        6925                  29     7
 982        6930                 753     6
 983        6935                 564     4
 984        6943                 512     2
 985        6947                 494     3
 986        6949                 413     2
 987        6972                 247     5
 988        6991                 975     3
 989        6994                 652     8
 990        6997                 708     7
 991        7013                1071     3
 992        7033                 466     2
 993        7046                  45     8
 994        7048                 482     5
 995        7056                 326     1
 996        7063                 803     8
 997        7078                  46     1
 998        7083                 158     7
 999        7095                 974     4
1000        7100                 714     7
1001        7109                 956     9
1002        7110                1140     9
1003        7113                  61     4
1004        7134                 804     6
1005        7142                 439     2
1006        7143                 149     7
1007        7149                1061     1
1008        7171                1179     8
1009        7172                 881     1
1010        7174                 796     8
1011        7179                 981     6
1012        7187                 282     6
1013        7194                 347     9
1014        7194                 819     6
1015        7203                 311     5
1016        7207                 507     5
1017        7208                  61     6
1018        7217                 794     1
1019        7221                 614     4
1020        7221                 365     2
1021        7225                  15     5
1022        7227                1142     7
1023        7235                1043     2
1024        7242                 135     4
1025        7258                 435     3
1026        7263                1165     5
1027        7270                 759     8
1028        7272                 712     8
1029        7289                 435     7
1030        7302                 437     6
1031        7317                 120     2
1032        7319                1164     3
1033        7351                 492     4
1034        7360                 193     5
1035        7365                 674     9
1036        7368                 766     8
1037        7373                1038     6
1038        7375                 362     4
1039        7385                1148     1
1040        7410                 183     4
1041        7430                 891     6
1042        7431                 864     5
1043        7441                 867     5
1044        7450                 859     3
