Maximum CPU Burst: 12
 234         441                  10     7
 235         442                   7     9
 236         442                   9     7
 237         445                   8     9
 238         447                  10     3
 239         449                   5     6
 240         449                   5     9
 241         450                   5     8
 242         456                   4     3
 243         457                   9     2
 244         457                   5     9
 245         457                   4     4
 246         457                  11     9
 247         460                   9     7
 248         461                   4     9
 249         461                   8     6
 250         463                   5     2
 251         465                   6     3
 252         466                   7     4
 253         467                   9     6
 254         471                  10     5
 255         473                   4     8
 256         475                   4     6
 257         477                   5     9
 258         478                   8     8
 259         484                   8     3
 260         484                  11     9
 261         484                   7     8
 262         485                   6     2
 263         493                   8     2
 264         493                  10     7
 265         497                   4     3
 266         497                  10     7
 267         497                   6     1
 268         499                   6     8
 269         501                   9     7
 270         502                   4     3
 271         507                   8     3
 272         507                   4     7
 273         516                   6     5
 274         516                   8     6
 275         518                   8     5
 276         519                  10     7
 277         523                   9     4
 278         524                   6     3
 279         526                   5     2
 280         527                   8     3
 281         529                   4     5
 282         535                   7     1
 283         537                  10     7
 284         538                   9     3
 285         538                   4     6
 286         540                   4     8
 287         543                   5     4
 288         544                   4     2
 289         546                   8     3
 290         548                  10     3
 291         549                   8     7
 292         552                   7     8
 293         554                   8     8
 294         555                  10     5
 295         561                   8     7
 296         563                  11     9
 297         567                   7     9
 298         570                   7     1
 299         572                   7     5
 300         573                   6     8
 301         577                   5     2
 302         579                   6     9
 303         580                   7     5
 304         581                   7     1
 305         582                  10     2
 306         583                   8     4
 307         584                   4     8
 308         585                   5     3
 309         586                   8     6
 310         587                   8     8
 311         588                   6     1
 312         589                   7     3
 313         589                  11     4
 314         590                   8     9
 315         590                  11     9
 316         591                   4     8
 317         593                   9     5
 318         599                   4     6
 319         600                  11     5
 320         601                  11     9
 321         601                   5     4
 322         604                  11     4
 323         605                   9     9
 324         605                   5     1
 325         607                  11     3
 326         609                  10     9
 327         615                   8     4
 328         616                   7     1
 329         619                   5     5
 330         621                  11     4
 331         624                   9     3
 332         626                  11     5
 333         626                   4     2
 334         627                  10     8
 335         627                   6     4
 336         630                  11     5
 337         631                  11     8
 338         631                   8     3
 339         642                   6     1
 340         649                   5     1
 341         650                   8     3
 342         650                   7     9
 343         651                   5     7
 344         652                   8     6
 345         652                  11     1
 346         658                   7     4
 347         660                   5     2
 348         660                   9     1
 349         662                   6     8
 350         664                   5     2
 351         665                   9     7
 352         666                   4     5
 353         666                  11     6
 354         668                  10     1
 355         668                   7     4
 356         669                   5     5
 357         670                   5     3
 358         672                  10     8
 359         673                  10     1
 360         675                   5     4
 361         678                   9     6
 362         680                   4     9
 363         682                   5     6
 364         685                  10     4
 365         686                   4     6
 366         686                  11     3
 367         686                   6     3
 368         690                   5     6
 369         691                   6     2
 370         691                   7     4
 371         692                  10     6
 372         698                   9     7
 373         699                   6     2
 374         701                   8     7
 375         702                  11     1
 376         704                   4     4
 377         706                   5     9
 378         710                   8     9
 379         714                  10     5
 380         716                   6     1
 381         717                   9     4
 382         718                   6     9
 383         720                   9     8
 384         723                   7     7
 385         724                  10     4
 386         724                   5     8
 387         730                   7     3
 388         730                   9     1
 389         733                   8     6
 390         737                   4     6
 391         739                   4     5
 392         741                   8     8
 393         742                   4     9
 394         742                   6     1
 395         745                   7     5
 396         746                   5     3
 397         752                  11     5
 398         758                   6     9
 399         760                   5     7
 400         764                   8     4
 401         765                  11     4
 402         767                   4     2
 403         769                  10     2
 404         770                   7     4
 405         771                  11     3
 406         775                   8     3
 407         776                   7     4
 408         777                  11     6
 409         780                   5     7
 410         780                   6     8
 411         781                   5     1
 412         789                  10     6
 413         790                   4     9
 414         791                   8     3
 415         793                   9     3
 416         794                   5     4
 417         797                   5     7
 418         798                   6     5
 419         799                   6     3
 420         802                   6     9
 421         802                   8     8
 422         802                  10     2
 423         805                   9     2
 424         807                   9     4
 425         807                  10     3
 426         808                   5     7
 427         811                   8     6
 428         814                   8     6
 429         819                  10     2
 430         821                   4     5
 431         821                   4     2
 432         827                   5     5
 433         828                  11     2
 434         835                   8     6
 435         837                  11     3
 436         838                   9     1
 437         845                  11     9
 438         846                  11     8
 439         847                  10     8
 440         848                  11     7
 441         849                   5     3
 442         853                  11     2
 443         853                  10     1
 444         853                   5     3
 445         861                   6     5
 446         861                   6     7
 447         861                   9     3
 448         871                   4     4
 449         874                   9     1
 450         874                   5     8
 451         876                   6     2
 452         878                  10     4
 453         882                   8     5
 454         884                   7     4
 455         884                   8     3
 456         885                   9     7
 457         889                  10     6
 458         890                   9     3
 459         891                   6     4
 460         893                  11     2
 461         894                   5     5
 462         894                   9     1
 463         895                   4     8
 464         898                  11     9
 465         898                   5     1
 466         904                   6     8
 467         906                   7     1
 468         906                  10     4
 469         906                   9     5
 470         907                  10     6
 471         908                   5     5
 472         909                   7     3
 473         911                   6     7
 474         915                   4     1
 475         918                   5     1
 476         923                  10     3
 477         923                  11     7
 478         932                   4     2
 479         932                   6     8
 480         934                   7     3
 481         935                   8     6
 482         940                   7     1
 483         944                   5     1
 484         944                   8     3
 485         944                   7     1
 486         946                   6     3
 487         947                  10     4
 488         948                   4     4
 489         951                   5     7
 490         954                   6     9
 491         956                   7     4
 492         956                  11     4
 493         956                   6     5
 494         958                   8     9
 495         960                   4     3
 496         960                   9     1
 497         961                   8     3
 498         962                   7     9
 499         962                  10     7
 500         964                   6     1
 501         965                   6     6
 502         968                   7     8
 503         974                   8     5
 504         981                   9     6
 505         983                   8     6
 506         984                   4     4
 507         985                  11     5
 508         985                   5     9
 509         988                   8     9
 510         990                   9     1
 511         992                   5     1
 512         993                   8     3
 513         994                   5     2
 514         994                   9     6
 515         995                   4     9
 516         999                   9     9
 517        1000                   9     8
 518        1006                   9     5
 519        1008                   7     2
 520        1012                   5     9
 521        1012                   7     6
 522        1012                   6     1
 523        1013                   7     7
 524        1015                   7     2
 525        1016                   4     4
 526        1018                  10     9
 527        1020                   5     2
 528        1024                   9     6
 529        1026                   7     7
 530        1029                   6     3
 531        1030                  11     2
 532        1036                   8     6
 533        1042                  10     3
 534        1043                   7     4
 535        1044                  10     6
 536        1045                  10     6
 537        1049                   9     2
 538        1049                   6     3
 539        1051                   7     1
 540        1057                  11     3
 541        1057                   5     8
 542        1066                  10     4
 543        1066                  11     9
 544        1069                   7     7
 545        1069                   5     7
 546        1069                   6     1
 547        1069                  10     2
 548        1069                   8     9
 549        1076                   5     6
 550        1078                   4     4
 551        1081                   4     2
 552        1083                  10     5
 553        1090                  11     2
 554        1091                   9     6
 555        1091                  10     7
 556        1092                   5     7
 557        1092                   9     7
 558        1093                   9     3
 559        1093                   7     5
 560        1094                   5     8
 561        1095                   6     5
 562        1096                   6     9
 563        1096                  10     1
 564        1096                   8     9
 565        1098                   5     3
 566        1102                   5     8
 567        1103                  11     9
 568        1103                   4     8
 569        1104                  11     4
 570        1106                   4     6
 571        1109                   4     3
 572        1109                  10     5
 573        1111                   4     2
 574        1113                  10     4
 575        1115                   9     5
 576        1117                   5     1
 577        1122                  10     9
 578        1125                   5     4
 579        1125                  10     9
 580        1128                   5     5
 581        1129                   8     8
 582        1130                   5     2
 583        1139                   7     2
 584        1141                   7     7
 585        1153                  11     5
 586        1153                   8     2
 587        1154                   5     1
 588        1156                   4     1
 589        1157                   7     4
 590        1157                   7     5
 591        1157                   4     8
 592        1157                   5     5
 593        1162                   6     9
 594        1163                   8     7
 595        1165                   6     7
 596        1167                   9     9
 597        1168                   5     9
 598        1171                   5     2
 599        1172                  11     8
 600        1174                  10     7
 601        1174                   4     6
 602        1174                   8     5
 603        1175                   7     1
 604        1177                   6     9
 605        1181                   7     9
 606        1184                  11     2
 607        1185                  10     9
 608        1186                   7     5
 609        1186                   8     9
 610        1188                  10     3
 611        1192                   6     1
 612        1194                   6     3
 613        1197                   7     3
 614        1202                   5     2
 615        1203                   4     3
 616        1210                   5     7
 617        1213                   6     8
 618        1221                   4     2
 619        1225                   7     5
 620        1225                   7     8
 621        1226                   5     8
 622        1226                   8     7
 623        1226                   6     2
 624        1227                   6     4
 625        1227                   7     9
 626        1229                   8     4
 627        1233                   8     5
 628        1236                   5     5
 629        1237                   9     5
 630        1238                   9     9
 631        1239                   5     6
 632        1240                   8     6
 633        1241                   8     3
 634        1245                   9     6
 635        1249                   8     5
 636        1250                   8     7
 637        1253                   5     3
 638        1259                  11     3
 639        1265                   8     4
 640        1267                   6     9
 641        1269                   5     4
 642        1272                   8     5
 643        1273                   9     3
 644        1273                   4     6
 645        1274                  11     5
 646        1274                   4     5
 647        1280                   8     7
 648        1282                   9     7
 649        1285                  10     9
 650        1286                   8     7
 651        1289                  11     7
 652        1291                   7     9
 653        1291                   5     5
 654        1292                  11     8
 655        1293                  10     3
 656        1298                   6     1
 657        1300                  11     8
 658        1301                   6     7
 659        1309                   9     6
 660        1311                   7     7
 661        1314                   6     6
 662        1315                   9     9
 663        1317                   4     2
 664        1320                   4     7
 665        1322                   5     3
 666        1326                   6     6
 667        1326                   6     9
 668        1331                  10     2
 669        1333                  11     7
 670        1334                  10     4
 671        1334                   6     2
 672        1335                  11     8
 673        1341                   8     1
 674        1341                  11     8
 675        1342                   7     7
 676        1342                  11     8
 677        1349                   6     1
 678        1351                   8     3
 679        1352                   7     5
 680        1354                   5     5
 681        1356                   6     8
 682        1358                   8     3
 683        1360                   4     2
 684        1362                   6     9
 685        1364                   9     2
 686        1365                   5     9
 687        1366                   5     5
 688        1371                  11     1
 689        1371                   4     6
 690        1375                   6     3
 691        1375                  11     8
 692        1376                   9     2
 693        1376                   5     7
 694        1377                   4     8
 695        1379                   8     8
 696        1382                   9     3
 697        1382                   8     9
 698        1384                  11     6
 699        1385                  11     9
 700        1385                   6     8
 701        1386                   6     3
 702        1387                  10     2
 703        1391                   6     2
 704        1392                   6     6
 705        1402                  10     8
 706        1403                   4     2
 707        1405                   8     4
 708        1408                   7     4
 709        1412                   7     4
 710        1414                   7     7
 711        1416                   8     7
 712        1420                   5     9
 713        1428                   6     3
 714        1429                  10     6
 715        1429                   6     9
 716        1430                   5     7
 717        1430                   5     2
 718        1437                  10     7
 719        1437                   9     8
 720        1438                   8     1
 721        1438                   4     2
 722        1438                   8     8
 723        1442                   8     4
 724        1448                   9     9
 725        1450                  10     8
 726        1451                  10     3
 727        1452                   6     6
 728        1455                   6     9
 729        1455                   9     1
 730        1459                  11     2
 731        1460                  10     4
 732        1461                   4     5
 733        1463                   8     2
 734        1463                   9     6
 735        1464                  11     1
 736        1466                   6     7
 737        1468                  11     7
 738        1468                  10     1
 739        1470                   6     3
 740        1470                   8     2
 741        1470                  10     7
 742        1471                   4     8
 743        1472                   6     7
 744        1473                  10     7
 745        1473                  11     2
 746        1473                   5     2
 747        1476                   7     7
 748        1488                   8     4
 749        1495                  10     7
 750        1495                   7     7
 751        1496                  10     8
 752        1496                  10     3
 753        1503                   8     1
 754        1508                   4     1
 755        1509                   6     4
 756        1510                   7     7
 757        1511                   7     9
 758        1513                   9     8
 759        1513                   9     5
 760        1514                   4     1
 761        1517                  10     4
 762        1525                  11     9
 763        1525                   6     9
 764        1529                  10     6
 765        1530                   9     3
 766        1530                   4     2
 767        1537                  10     7
 768        1538                   9     4
 769        1540                   7     8
 770        1541                   5     5
 771        1542                   4     1
 772        1544                  11     7
 773        1546                   5     1
 774        1547                   6     9
 775        1547                   8     4
 776        1548                   5     6
 777        1549                   5     7
 778        1550                   6     4
 779        1551                   4     9
 780        1551                   9     5
 781        1554                   7     4
 782        1555                   7     1
 783        1557                   9     6
 784        1558                   4     9
 785        1560                   6     4
 786        1561                   5     8
 787        1562                   7     5
 788        1563                   7     7
 789        1563                   9     5
 790        1565                  10     9
 791        1569                   6     1
 792        1571                   4     5
 793        1571                  10     7
 794        1573                   4     4
 795        1575                   8     4
 796        1576                   8     4
 797        1579                   7     8
 798        1580                   5     7
 799        1580                   6     6
 800        1583                  11     8
 801        1586                   9     2
 802        1590                   9     7
 803        1590                  11     1
 804        1592                  11     4
 805        1592                  11     7
 806        1594                   4     7
 807        1596                   6     6
 808        1598                   5     4
 809        1609                   6     4
 810        1614                   4     8
 811        1615                  11     5
 812        1618                   9     8
 813        1622                   4     8
 814        1623                   4     3
 815        1624                   8     3
 816        1626                   6     2
 817        1632                   6     6
 818        1635                   7     5
 819        1636                   7     8
 820        1637                   8     2
 821        1638                   6     1
 822        1639                   7     2
 823        1640                   4     4
 824        1641                   4     7
 825        1643                   6     5
 826        1644                   8     7
 827        1644                   7     9
 828        1645                   5     1
 829        1654                   6     5
 830        1654                   5     1
 831        1655                   5     9
 832        1655                   7     3
 833        1658                   6     6
 834        1660                   7     5
 835        1662                   9     3
 836        1662                   5     7
 837        1663                  10     5
 838        1669                   4     1
 839        1670                   7     8
 840        1673                  10     1
 841        1676                   9     6
 842        1677                   7     1
 843        1678                   8     1
 844        1682                  11     6
 845        1683                  11     5
 846        1685                   9     4
 847        1685                   4     8
 848        1685                   8     1
 849        1688                   7     3
 850        1689                   7     9
 851        1690                   9     1
 852        1690                   8     9
 853        1690                   8     8
 854        1690                   9     9
 855        1691                   6     7
 856        1691                   9     7
 857        1692                   8     9
 858        1692                   9     3
 859        1694                   9     2
 860        1696                   8     6
 861        1699                   4     1
 862        1699                   8     3
 863        1701                  11     6
 864        1702                   5     6
 865        1703                  10     3
 866        1711                   4     8
 867        1715                   8     6
 868        1716                  10     9
 869        1720                   9     8
 870        1723                  11     3
 871        1726                   7     7
 872        1730                  11     8
 873        1731                  10     3
 874        1731                   6     3
 875        1732                  11     1
 876        1734                   4     9
 877        1735                  11     6
 878        1737                   4     9
 879        1739                   8     6
 880        1740                   7     4
 881        1741                   9     1
 882        1744                   5     8
 883        1745                   9     2
 884        1746                   6     2
 885        1752                   9     5
 886        1756                   8     4
 887        1758                   9     1
 888        1759                   5     6
 889        1759                   4     7
 890        1759                   8     6
 891        1760                   9     1
 892        1760                  11     3
 893        1764                  10     2
 894        1768                  10     5
 895        1768                   4     5
 896        1768                  11     8
 897        1770                  11     5
 898        1771                   5     1
 899        1772                   7     3
 900        1774                   9     9
 901        1776                   5     9
 902        1776                  11     2
 903        1777                   5     6
 904        1779                   4     9
 905        1781                  10     3
 906        1782                   8     5
 907        1792                   4     9
 908        1796                   8     9
 909        1797                   9     6
 910        1799                   8     1
 911        1801                   9     7
 912        1802                  11     5
 913        1809                   8     4
 914        1811                  10     5
 915        1811                   8     7
 916        1812                   4     7
 917        1817                   4     3
 918        1818                   7     4
 919        1819                   8     4
 920        1822                   6     1
 921        1822                   8     5
 922        1833                   4     3
 923        1836                  10     9
 924        1837                   4     3
 925        1840                  10     7
 926        1843                   9     9
 927        1845                   4     1
 928        1846                   5     5
 929        1848                   6     4
 930        1848                  11     9
 931        1851                   4     1
 932        1853                  11     6
 933        1858                   8     7
 934        1864                  11     4
 935        1870                   7     7
 936        1871                   5     8
 937        1872                   9     1
 938        1873                   5     5
 939        1873                   6     6
 940        1874                   7     4
 941        1877                   7     3
 942        1881                  10     9
 943        1884                   4     1
 944        1884                   5     2
 945        1889                  11     3
 946        1891                   5     6
 947        1892                  10     4
 948        1892                   6     2
 949        1897                   8     7
 950        1899                   6     6
 951        1901                   6     5
 952        1902                   6     8
 953        1907                  11     7
 954        1910                  10     3
 955        1913                  10     6
 956        1914                   8     5
 957        1914                   8     4
 958        1917                   7     9
 959        1918                  11     7
 960        1922                   6     9
 961        1924                   4     4
 962        1924                  10     3
 963        1924                   5     1
 964        1927                   5     9
 965        1929                   9     5
 966        1930                   8     9
 967        1932                  11     5
 968        1935                   7     2
 969        1936                  11     9
 970        1937                  10     7
 971        1943                   6     7
 972        1944                   4     9
 973        1946                   6     7
 974        1948                   9     9
 975        1950                   7     2
 976        1952                   9     5
 977        1956                   8     2
 978        1958                  10     6
 979        1958                   9     7
 980        1958                  10     5
 981        1959                   4     7
 982        1960                   9     6
 983        1961                   7     4
 984        1963                   7     2
 985        1964                   7     3
 986        1964                   6     2
 987        1971                   5     5
 988        1976                  10     3
 989        1977                   8     8
 990        1978                   8     7
 991        1982                  11     3
 992        1988                   7     2
 993        1992                   4     8
 994        1993                   7     5
 995        1995                   6     1
 996        1997                   9     8
 997        2001                   4     1
 998        2002                   5     7
 999        2006                  10     4
1000        2008                   8     7
1001        2011                  10     9
1002        2011                  11     9
1003        2012                   4     4
1004        2018                   9     6
1005        2020                   6     2
1006        2020                   4     7
1007        2022                  11     1
1008        2028                  11     8
1009        2028                   9     1
1010        2029                   9     8
1011        2030                  10     6
1012        2032                   5     6
1013        2034                   6     9
1014        2034                   9     6
1015        2037                   6     5
1016        2038                   7     5
1017        2038                   4     6
1018        2041                   9     1
1019        2042                   8     4
1020        2042                   6     2
1021        2043                   4     5
1022        2044                  11     7
1023        2046                  10     2
1024        2048                   4     4
1025        2053                   6     3
1026        2054                  11     5
1027        2056                   9     8
1028        2057                   8     8
1029        2062                   6     7
1030        2066                   6     6
1031        2070                   4     2
1032        2070                  11     3
1033        2079                   7     4
1034        2082                   5     5
1035        2083                   8     9
1036        2084                   9     8
1037        2085                  10     6
1038        2086                   6     4
1039        2089                  11     1
1040        2096                   5     4
1041        2102                   9     6
1042        2102                   9     5
1043        2105                   9     5
1044        2108                   9     3
